status,pages,chars,engine,pdf_path,txt_path,message
skipped,0,207460,,C:\Users\USER\OneDrive\Documents\CA FINAL MAY 2027\CA_Final_May_2027_Command_Center\ICAI_Materials\01_FR_Financial_Reporting\013 - Unit 4- Ind AS 36 “Impairment of Assets” - 74895bos60524-cp6-u4.pdf,C:\Users\USER\OneDrive\Documents\CA FINAL MAY 2027\CA_Final_May_2027_Command_Center\ICAI_Materials_Text\01_FR_Financial_Reporting\013 - Unit 4- Ind AS 36 “Impairment of Assets” - 74895bos60524-cp6-u4.txt,up to date
skipped,0,160939,,C:\Users\USER\OneDrive\Documents\CA FINAL MAY 2027\CA_Final_May_2027_Command_Center\ICAI_Materials\01_FR_Financial_Reporting\014 - Unit 5- Ind AS 38 “Intangible Assets” - 74896bos60524-cp6-u5.pdf,C:\Users\USER\OneDrive\Documents\CA FINAL MAY 2027\CA_Final_May_2027_Command_Center\ICAI_Materials_Text\01_FR_Financial_Reporting\014 - Unit 5- Ind AS 38 “Intangible Assets” - 74896bos60524-cp6-u5.txt,up to date
skipped,0,82395,,C:\Users\USER\OneDrive\Documents\CA FINAL MAY 2027\CA_Final_May_2027_Command_Center\ICAI_Materials\01_FR_Financial_Reporting\015 - Unit 6- Ind AS 40 “Investment Property” - 74897bos60524-cp6-u6.pdf,C:\Users\USER\OneDrive\Documents\CA FINAL MAY 2027\CA_Final_May_2027_Command_Center\ICAI_Materials_Text\01_FR_Financial_Reporting\015 - Unit 6- Ind AS 40 “Investment Property” - 74897bos60524-cp6-u6.txt,up to date
converted,42,109663,pymupdf,C:\Users\USER\OneDrive\Documents\CA FINAL MAY 2027\CA_Final_May_2027_Command_Center\ICAI_Materials\01_FR_Financial_Reporting\016 - Unit 7- Ind AS 105 “Non-current Assets Held for Sale and Discontinued Operations” - 74898bos60524-cp6-u7.pdf,C:\Users\USER\OneDrive\Documents\CA FINAL MAY 2027\CA_Final_May_2027_Command_Center\ICAI_Materials_Text\01_FR_Financial_Reporting\016 - Unit 7- Ind AS 105 “Non-current Assets Held for Sale and Discontinued Operations”__2e22d26b97.txt,
skipped,0,422397,,C:\Users\USER\OneDrive\Documents\CA FINAL MAY 2027\CA_Final_May_2027_Command_Center\ICAI_Materials\01_FR_Financial_Reporting\017 - Unit 8- Ind AS 116 “Leases” - 74899bos60524-cp6-u8.pdf,C:\Users\USER\OneDrive\Documents\CA FINAL MAY 2027\CA_Final_May_2027_Command_Center\ICAI_Materials_Text\01_FR_Financial_Reporting\017 - Unit 8- Ind AS 116 “Leases” - 74899bos60524-cp6-u8.txt,up to date
skipped,0,66796,,C:\Users\USER\OneDrive\Documents\CA FINAL MAY 2027\CA_Final_May_2027_Command_Center\ICAI_Materials\01_FR_Financial_Reporting\018 - Unit 1- Ind AS 41 “Agriculture” - 74900bos60524-cp7-u1.pdf,C:\Users\USER\OneDrive\Documents\CA FINAL MAY 2027\CA_Final_May_2027_Command_Center\ICAI_Materials_Text\01_FR_Financial_Reporting\018 - Unit 1- Ind AS 41 “Agriculture” - 74900bos60524-cp7-u1.txt,up to date
skipped,0,71031,,C:\Users\USER\OneDrive\Documents\CA FINAL MAY 2027\CA_Final_May_2027_Command_Center\ICAI_Materials\01_FR_Financial_Reporting\019 - Unit 2- Ind AS 20 “Accounting for Government Grants and Disclosu.pdf,C:\Users\USER\OneDrive\Documents\CA FINAL MAY 2027\CA_Final_May_2027_Command_Center\ICAI_Materials_Text\01_FR_Financial_Reporting\019 - Unit 2- Ind AS 20 “Accounting for Government Grants and Disclosu.txt,up to date
skipped,0,143364,,C:\Users\USER\OneDrive\Documents\CA FINAL MAY 2027\CA_Final_May_2027_Command_Center\ICAI_Materials\01_FR_Financial_Reporting\020 - Unit 3- Ind AS 102 “Share Based Payment” - 74902bos60524-cp7-u3.pdf,C:\Users\USER\OneDrive\Documents\CA FINAL MAY 2027\CA_Final_May_2027_Command_Center\ICAI_Materials_Text\01_FR_Financial_Reporting\020 - Unit 3- Ind AS 102 “Share Based Payment” - 74902bos60524-cp7-u3.txt,up to date
skipped,0,222146,,C:\Users\USER\OneDrive\Documents\CA FINAL MAY 2027\CA_Final_May_2027_Command_Center\ICAI_Materials\01_FR_Financial_Reporting\021 - Unit 1- Ind AS 19 “Employee Benefits” - 74903bos60524-cp8-u1.pdf,C:\Users\USER\OneDrive\Documents\CA FINAL MAY 2027\CA_Final_May_2027_Command_Center\ICAI_Materials_Text\01_FR_Financial_Reporting\021 - Unit 1- Ind AS 19 “Employee Benefits” - 74903bos60524-cp8-u1.txt,up to date
skipped,0,135571,,"C:\Users\USER\OneDrive\Documents\CA FINAL MAY 2027\CA_Final_May_2027_Command_Center\ICAI_Materials\01_FR_Financial_Reporting\022 - Unit 2- Ind AS 37 “Provisions, Contingent Liabilities and Contingent Assets” - 74904bos60524-cp8-u2.pdf","C:\Users\USER\OneDrive\Documents\CA FINAL MAY 2027\CA_Final_May_2027_Command_Center\ICAI_Materials_Text\01_FR_Financial_Reporting\022 - Unit 2- Ind AS 37 “Provisions, Contingent Liabilities and Contingent Assets” - 74904bos60524-cp8-u2.txt",up to date
skipped,0,234454,,C:\Users\USER\OneDrive\Documents\CA FINAL MAY 2027\CA_Final_May_2027_Command_Center\ICAI_Materials\01_FR_Financial_Reporting\023 - Unit 1- Ind AS 12 “Income Taxes” - 74905bos60524-cp9-u1.pdf,C:\Users\USER\OneDrive\Documents\CA FINAL MAY 2027\CA_Final_May_2027_Command_Center\ICAI_Materials_Text\01_FR_Financial_Reporting\023 - Unit 1- Ind AS 12 “Income Taxes” - 74905bos60524-cp9-u1.txt,up to date
skipped,0,94645,,C:\Users\USER\OneDrive\Documents\CA FINAL MAY 2027\CA_Final_May_2027_Command_Center\ICAI_Materials\01_FR_Financial_Reporting\024 - Unit 2- Ind AS 21 “The Effects of Changes in Foreign Exchange Rates” - 74906bos60524-cp9-u2.pdf,C:\Users\USER\OneDrive\Documents\CA FINAL MAY 2027\CA_Final_May_2027_Command_Center\ICAI_Materials_Text\01_FR_Financial_Reporting\024 - Unit 2- Ind AS 21 “The Effects of Changes in Foreign Exchange Rates” - 74906bos60524-cp9-u2.txt,up to date
skipped,0,79007,,C:\Users\USER\OneDrive\Documents\CA FINAL MAY 2027\CA_Final_May_2027_Command_Center\ICAI_Materials\01_FR_Financial_Reporting\025 - Unit 1- Ind AS 24 “Related Party Disclosures” - 74907bos60524-cp10-u1.pdf,C:\Users\USER\OneDrive\Documents\CA FINAL MAY 2027\CA_Final_May_2027_Command_Center\ICAI_Materials_Text\01_FR_Financial_Reporting\025 - Unit 1- Ind AS 24 “Related Party Disclosures” - 74907bos60524-cp10-u1.txt,up to date
skipped,0,140289,,C:\Users\USER\OneDrive\Documents\CA FINAL MAY 2027\CA_Final_May_2027_Command_Center\ICAI_Materials\01_FR_Financial_Reporting\026 - Unit 2- Ind AS 33 “Earnings per Share” - 74908bos60524-cp10-u2.pdf,C:\Users\USER\OneDrive\Documents\CA FINAL MAY 2027\CA_Final_May_2027_Command_Center\ICAI_Materials_Text\01_FR_Financial_Reporting\026 - Unit 2- Ind AS 33 “Earnings per Share” - 74908bos60524-cp10-u2.txt,up to date
skipped,0,87865,,C:\Users\USER\OneDrive\Documents\CA FINAL MAY 2027\CA_Final_May_2027_Command_Center\ICAI_Materials\01_FR_Financial_Reporting\027 - Unit 3- Ind AS 108 “Operating Segments” - 74909bos60524-cp10-u3.pdf,C:\Users\USER\OneDrive\Documents\CA FINAL MAY 2027\CA_Final_May_2027_Command_Center\ICAI_Materials_Text\01_FR_Financial_Reporting\027 - Unit 3- Ind AS 108 “Operating Segments” - 74909bos60524-cp10-u3.txt,up to date
skipped,0,67005,,C:\Users\USER\OneDrive\Documents\CA FINAL MAY 2027\CA_Final_May_2027_Command_Center\ICAI_Materials\01_FR_Financial_Reporting\028 - Unit 1- Financial Instruments- Scope and Definitions - 74910bos60524-cp11-u1.pdf,C:\Users\USER\OneDrive\Documents\CA FINAL MAY 2027\CA_Final_May_2027_Command_Center\ICAI_Materials_Text\01_FR_Financial_Reporting\028 - Unit 1- Financial Instruments- Scope and Definitions - 74910bos60524-cp11-u1.txt,up to date
converted,63,164806,pymupdf,C:\Users\USER\OneDrive\Documents\CA FINAL MAY 2027\CA_Final_May_2027_Command_Center\ICAI_Materials\01_FR_Financial_Reporting\029 - Unit 2- Classification and Measurement of Financial Assets and Financial Liabilities - 74911bos60524-cp11-u2.pdf,C:\Users\USER\OneDrive\Documents\CA FINAL MAY 2027\CA_Final_May_2027_Command_Center\ICAI_Materials_Text\01_FR_Financial_Reporting\029 - Unit 2- Classification and Measurement of Financial Assets and Financial Liabilities__e7593c1c75.txt,
skipped,0,87834,,C:\Users\USER\OneDrive\Documents\CA FINAL MAY 2027\CA_Final_May_2027_Command_Center\ICAI_Materials\01_FR_Financial_Reporting\030 - Unit 3- Financial Instruments- Equity and Financial Liabilities - 74912bos60524-cp11-u3.pdf,C:\Users\USER\OneDrive\Documents\CA FINAL MAY 2027\CA_Final_May_2027_Command_Center\ICAI_Materials_Text\01_FR_Financial_Reporting\030 - Unit 3- Financial Instruments- Equity and Financial Liabilities - 74912bos60524-cp11-u3.txt,up to date
skipped,0,58706,,C:\Users\USER\OneDrive\Documents\CA FINAL MAY 2027\CA_Final_May_2027_Command_Center\ICAI_Materials\01_FR_Financial_Reporting\031 - Unit 4 - Derivatives and Embedded Derivatives - 74913bos60524-cp11-u4.pdf,C:\Users\USER\OneDrive\Documents\CA FINAL MAY 2027\CA_Final_May_2027_Command_Center\ICAI_Materials_Text\01_FR_Financial_Reporting\031 - Unit 4 - Derivatives and Embedded Derivatives - 74913bos60524-cp11-u4.txt,up to date
skipped,0,69856,,C:\Users\USER\OneDrive\Documents\CA FINAL MAY 2027\CA_Final_May_2027_Command_Center\ICAI_Materials\01_FR_Financial_Reporting\032 - Unit 5- Recognition and Derecognition of Financial Instruments - 74914bos60524-cp11-u5.pdf,C:\Users\USER\OneDrive\Documents\CA FINAL MAY 2027\CA_Final_May_2027_Command_Center\ICAI_Materials_Text\01_FR_Financial_Reporting\032 - Unit 5- Recognition and Derecognition of Financial Instruments - 74914bos60524-cp11-u5.txt,up to date
